City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
256,Porto Novo,BJ,6.4965,2.6036,82.22,72,70,6.31,broken clouds
257,Bakchar,RU,57.0186,82.0711,46.51,27,48,8.19,scattered clouds
258,Hami,CN,42.8,93.45,81.72,21,100,21.43,overcast clouds
259,Warwick,US,41.7001,-71.4162,48.24,64,100,12.66,overcast clouds
260,Port Augusta,AU,-32.5,137.7667,60.84,49,0,6.62,clear sky
261,Lethem,GY,3.3803,-59.7968,75.18,90,99,2.75,overcast clouds
262,Tuatapere,NZ,-46.1333,167.6833,53.46,94,100,1.45,overcast clouds
263,Jingcheng,CN,32.0142,120.2625,79.0,46,1,10.85,clear sky
264,Billings,US,45.7833,-108.5007,47.97,57,100,8.05,overcast clouds
265,Fasa,IR,28.9383,53.6482,85.24,19,0,13.8,clear sky
266,Port Elizabeth,ZA,-33.918,25.5701,62.31,77,75,15.01,broken clouds
267,Longyearbyen,SJ,78.2186,15.6401,17.44,62,40,16.11,scattered clouds
268,Papayal,PE,-4.0761,-80.7361,69.24,77,94,4.23,overcast clouds
269,Dingle,PH,10.9995,122.6711,88.16,61,71,13.85,broken clouds
270,Leningradskiy,RU,69.3833,178.4167,22.84,95,100,5.06,overcast clouds
271,Sagua La Grande,CU,22.8067,-80.0756,72.59,92,1,6.33,clear sky
272,Dikson,RU,73.5069,80.5464,19.36,90,71,20.49,broken clouds
273,Guaruja,BR,-23.9931,-46.2564,68.9,26,94,3.71,overcast clouds
274,Bairiki,KI,1.3292,172.9752,80.6,83,20,13.8,few clouds
275,Kaitangata,NZ,-46.2817,169.8464,53.82,96,100,1.16,overcast clouds
276,Constitucion,CL,-35.3333,-72.4167,52.41,80,0,3.4,clear sky
277,San Jose,US,37.3394,-121.895,53.47,62,20,12.66,few clouds
278,Maldonado,UY,-34.6667,-54.9167,55.22,92,63,5.53,broken clouds
279,Weyburn,CA,49.6668,-103.8511,44.82,87,68,3.44,broken clouds
280,Cordoba,AR,-31.4135,-64.1811,63.45,63,0,16.11,clear sky
281,Jinxiang,CN,27.4327,120.6062,68.79,85,100,6.06,overcast clouds
282,Urucui,BR,-7.2294,-44.5561,70.21,54,90,2.8,overcast clouds
283,Damietta,EG,31.4165,31.8133,69.69,52,14,11.74,few clouds
284,Coquimbo,CL,-29.9533,-71.3436,55.13,94,100,2.3,overcast clouds
285,San Carlos De Bariloche,AR,-41.1456,-71.3082,53.35,66,40,23.02,scattered clouds
286,Souillac,MU,-20.5167,57.5167,80.98,74,40,9.22,scattered clouds
287,Odweyne,SO,9.4092,45.064,85.32,38,6,3.8,clear sky
288,College,US,64.8569,-147.8028,42.78,86,75,5.75,broken clouds
289,Sorong,ID,-0.8833,131.25,84.74,76,27,5.23,scattered clouds
290,Balabac,PH,7.9868,117.0645,85.55,72,11,12.66,few clouds
291,Villarrica,PY,-25.75,-56.4333,54.52,85,3,2.93,clear sky
292,Varhaug,NO,58.6147,5.6457,47.86,56,84,14.72,broken clouds
293,Cabo San Lucas,MX,22.8909,-109.9124,75.61,61,4,14.79,clear sky
294,Vostok,RU,46.4856,135.8833,40.39,81,99,9.06,overcast clouds
295,Sao Joao Da Barra,BR,-21.6403,-41.0511,66.87,92,2,11.07,clear sky
296,Leshukonskoye,RU,64.8989,45.7622,49.01,92,96,9.04,overcast clouds
297,Camacupa,AO,-12.0167,17.4833,71.19,59,10,4.25,clear sky
298,Namatanai,PG,-3.6667,152.4333,82.87,73,34,13.4,scattered clouds
299,Lisakovsk,KZ,52.5369,62.4936,58.53,22,100,11.54,overcast clouds
300,Mehamn,NO,71.0357,27.8492,32.0,64,99,17.4,overcast clouds
301,Mangan,IN,27.5167,88.5333,81.37,63,96,6.33,overcast clouds
302,Lodja,CD,-3.4833,23.4333,81.91,68,100,2.62,overcast clouds
303,Talnakh,RU,69.4865,88.3972,18.21,86,30,11.16,scattered clouds
304,Fort Saint James,CA,54.4333,-124.25,34.48,92,100,4.09,overcast clouds
305,Qaqortoq,GL,60.7167,-46.0333,38.73,66,100,3.02,overcast clouds
306,Luz,BR,-19.8014,-45.6856,64.06,84,72,2.53,broken clouds
307,Staryy Nadym,RU,65.6118,72.6842,32.88,100,100,13.44,overcast clouds
308,Dongying,CN,37.4564,118.4856,51.24,67,100,6.89,light rain
309,Kruisfontein,ZA,-34.0033,24.7314,59.88,57,99,7.83,overcast clouds
310,Sabang,ID,5.8933,95.3214,84.09,75,84,22.35,broken clouds
311,Ossora,RU,59.2353,163.0719,36.5,75,65,14.2,broken clouds
312,Smithers,CA,54.7804,-127.1743,43.12,52,100,5.75,overcast clouds
313,Great Yarmouth,GB,52.6083,1.7305,53.94,71,2,10.22,clear sky
314,Sobradinho,BR,-12.8333,-39.1,66.87,95,7,3.24,clear sky
315,Chornoliztsi,UA,48.8303,24.8958,61.97,68,92,3.24,overcast clouds
316,Omsukchan,RU,62.5333,155.8,26.87,88,97,3.04,overcast clouds
317,Tikri,IN,29.2333,77.35,107.47,10,0,3.2,clear sky
318,Alibag,IN,18.6411,72.8792,93.27,63,5,12.91,clear sky
319,Casablanca,MA,33.5928,-7.6192,62.94,88,23,2.3,few clouds
320,Bull Savanna,JM,17.8868,-77.5902,75.13,79,78,10.04,broken clouds
321,Lubango,AO,-14.9172,13.4925,71.13,33,27,1.63,scattered clouds
322,Abha,SA,18.2164,42.5053,79.05,8,0,8.05,clear sky
323,Port Moresby,PG,-9.4431,147.1797,85.42,74,20,11.5,haze
324,Anadyr,RU,64.75,177.4833,34.3,93,75,8.95,light shower snow
325,Kurumkan,RU,54.3,110.3,56.73,55,100,13.29,overcast clouds
326,Rosita,NI,13.9268,-84.4032,72.64,99,88,1.43,overcast clouds
327,Huarmey,PE,-10.0681,-78.1522,65.57,89,79,7.58,broken clouds
328,Bulancak,TR,40.9372,38.2291,53.42,82,75,9.22,broken clouds
329,Bayeux,BR,-7.125,-34.9322,74.03,100,0,6.91,clear sky
330,Haines Junction,CA,60.7522,-137.5108,35.55,93,100,1.14,overcast clouds
331,Etaples,FR,50.5219,1.6332,59.16,82,100,9.22,overcast clouds
332,Rio Grande,BR,-32.035,-52.0986,59.02,86,2,7.74,clear sky
333,Houma,US,29.5958,-90.7195,75.0,93,100,0.0,mist
334,Oudtshoorn,ZA,-33.5907,22.2014,57.56,79,92,1.23,overcast clouds
335,Mingshui,CN,36.7167,117.5,51.8,67,100,8.19,heavy intensity rain
336,Tyukhtet,RU,56.5389,89.3011,40.87,32,100,13.38,overcast clouds
337,Biak,ID,-0.9131,122.8766,82.24,79,100,7.0,overcast clouds
338,Lahaina,US,20.8783,-156.6825,75.81,85,100,7.29,overcast clouds
339,Gueret,FR,46.1667,1.8667,56.7,78,12,4.59,few clouds
340,Sur,OM,22.5667,59.5289,93.69,43,0,7.09,clear sky
341,Amapa,BR,1.0,-52.0,71.62,100,100,1.88,overcast clouds
342,Elban,RU,50.1018,136.5094,47.43,51,100,9.98,overcast clouds
343,Peniche,PT,39.3558,-9.3811,62.94,70,32,7.34,scattered clouds
344,Estelle,US,29.8458,-90.1067,78.8,79,0,1.01,clear sky
345,Severo-Kurilsk,RU,50.6789,156.125,42.24,83,100,15.14,overcast clouds
