City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
403,Bemidji,US,56.17,broken clouds,47.4736,-94.8803,
404,Kauswagan,PH,83.32,overcast clouds,8.1917,124.0847,
405,Mar Del Plata,AR,56.95,clear sky,-38.0023,-57.5575,
406,Shimoda,JP,64.76,overcast clouds,34.6667,138.95,
407,Luganville,VU,79.12,overcast clouds,-15.5333,167.1667,
408,Namibe,AO,75.81,clear sky,-15.1961,12.1522,
409,Chuy,UY,53.92,scattered clouds,-33.6971,-53.4616,
410,Kavaratti,IN,84.9,scattered clouds,10.5669,72.642,
411,Neftcala,AZ,60.42,overcast clouds,39.3742,49.2472,
412,Voh,NC,70.79,broken clouds,-20.9667,164.7,
413,Port Hardy,CA,44.6,light intensity shower rain,50.6996,-127.4199,
415,Bereznik,RU,59.0,overcast clouds,62.8551,42.7072,
416,Ronne,DK,49.91,scattered clouds,55.1009,14.7066,
417,Rafaela,AR,53.01,overcast clouds,-31.2503,-61.4867,
418,Maarianhamina,AX,46.26,clear sky,60.0973,19.9348,
419,Mangrol,IN,89.58,clear sky,21.1167,70.1167,
420,Monte Carmelo,BR,65.7,broken clouds,-18.7247,-47.4986,
421,Los Llanos De Aridane,ES,62.35,few clouds,28.6585,-17.9182,
422,Naryan-Mar,RU,39.34,overcast clouds,67.6713,53.087,
423,Dakar,SN,69.93,clear sky,14.6937,-17.4441,
424,Newnan,US,56.71,broken clouds,33.3807,-84.7997,
425,Uray,RU,63.99,few clouds,60.1247,64.7758,
426,Vallenar,CL,53.17,overcast clouds,-28.5708,-70.7581,
427,Ahuimanu,US,74.91,broken clouds,21.4447,-157.8378,
428,Necochea,AR,59.85,scattered clouds,-38.5473,-58.7368,
429,Gigmoto,PH,84.52,clear sky,13.7796,124.39,
430,Cockburn Town,TC,79.45,clear sky,21.4612,-71.1419,
431,Bjerkvik,NO,34.0,light snow,68.5597,17.5189,
432,Rafsanjan,IR,84.45,overcast clouds,30.4067,55.9939,
434,Harrison,US,68.07,clear sky,30.4091,-89.0436,
435,Morondava,MG,80.67,clear sky,-20.2833,44.2833,
436,Artyom,AZ,59.14,scattered clouds,40.4723,50.333,
437,Westport,US,48.02,overcast clouds,41.1415,-73.3579,
439,Saint-Georges,GD,78.6,overcast clouds,12.0564,-61.7485,
